Agreeableness,Conscientiousness,Extraversion,Resiliency,Honesty,Originality,Charity,Economists,Engineers,Maths,Social,STEM,Male,MSB,Private,Raven,RavenTime,TimesMPL1,TimesMPL2,TimesMPL3,TimesMPL4,TimesMPL5,TimesMPL6,TimesMPL7,TimesMPL8,TimesMPL9,TimesMPL10,TimesMPL11,SP,WIN,Group,Age,German,GermanLang
77.5,55,70,77.5,60,62.5,0,0,0,1,0,1,1,0,-1,4,213.486,13.672,6.89099999999996,4.78100000000006,5.26599999999996,12.1409999999999,1.73400000000003,1.48500000000001,1.95299999999997,2.375,1.76600000000007,2.40599999999994,1,1,3,25,1,1
42.5,47.5,70,35,55,52.5,0,0,1,0,0,1,1,0,1,6,246.312,16.203,5.53099999999994,11.968,1.67199999999991,1.11000000000001,1.125,1.01499999999998,1.10900000000003,1.125,1.03099999999994,1.09400000000005,2,0,3,25,0,0
40,42.5,42.5,30,50,50,0,1,0,0,0,0,0,0,-1,4,122.218,12.547,3.71900000000005,1.95299999999997,1.73500000000001,1.56299999999998,1.42200000000002,1.18799999999998,1.53099999999994,1.875,1.82800000000008,2.51600000000007,1,1,3,24,1,1
10,42.5,42.5,5,57.5,27.5,0,0,1,0,0,1,1,0,-1,6,243.845,10.781,4.53200000000003,3.34400000000005,2.48399999999992,2.71900000000005,11.2029999999999,2.17200000000002,1.96899999999993,1.875,2.60899999999992,1.625,1,1,3,37,1,1
85,55,57.5,87.5,67.5,60,0,0,0,0,1,0,0,0,-1,3,217.967999999999,18.703,2.95300000000008,2,2.06200000000001,1.98500000000001,2.03100000000006,3.15599999999994,5.06199999999989,2.25,2.9380000000001,4.79700000000002,0,1,3,34,1,1
67.5,55,57.5,72.5,47.5,50,0,0,0,1,0,1,1,0,-1,6,215.797,7.156,8.23399999999998,7.09399999999999,2.20299999999997,2.23400000000003,6.31199999999995,2.09300000000001,1.68700000000001,1.51499999999998,2.26599999999996,2.156,2,1,5,23,1,1
35,75,65,45,67.5,80,0,1,0,0,0,0,0,0,1,5,171.188,10.922,4.75,6.23399999999998,14.704,4.82799999999997,36.4689999999999,3.75,2.92199999999996,2.92200000000002,2,2.18700000000001,3,1,5,30,0,0
47.5,70,55,60,62.5,50,0,1,0,0,0,0,1,0,1,8,279.781,5.60899999999998,4.42199999999996,3.17200000000002,11.8899999999999,5.75,2.31299999999998,1.375,2.89100000000002,1.454,1.79699999999996,6.079,3,1,5,35,1,1
55,80,55,40,60,52.5,0,1,0,0,1,0,0,0,-1,5,133.764,21.0939999999999,8.23399999999998,3.156,6.34300000000001,7.98499999999995,3.82799999999997,2.156,7.67099999999999,2.31200000000001,2.17200000000002,2.01599999999996,4,1,5,22,1,1
67.5,17.5,70,22.5,80,75,0,0,0,0,1,0,1,0,-1,4,254.325999999999,9.204,2.81300000000004,3.406,2.51499999999998,5.31200000000001,2.781,2,2.23500000000001,1.56200000000001,1.71900000000005,1.82800000000003,5,0,5,34,1,1
67.5,80,92.5,62.5,70,80,0,0,1,0,0,1,1,0,1,5,266.905999999999,10.0929999999999,3.60899999999998,6.31200000000001,3.29700000000002,15.3129999999999,4.20300000000003,2.86000000000001,2.53199999999998,1.45300000000003,2.32799999999997,2.31299999999998,5,0,5,31,1,1
55,55,52.5,47.5,77.5,47.5,0,0,1,0,0,1,1,0,1,7,214.639,6.67200000000002,2.28099999999994,1.51499999999998,4.35899999999998,6.406,3.89100000000002,2.29700000000002,1.75,1.89100000000002,6.04700000000002,2.17199999999996,5,1,5,26,1,1
47.5,60,80,35,55,67.5,0,0,0,0,1,0,0,1,-1,4,145.44,13.266,18.7809999999999,7.06199999999995,7.98399999999998,4,5.01499999999998,3.34399999999999,3.29700000000002,3.13999999999998,2.48399999999998,2.70300000000003,2,0,5,23,1,1
55,80,70,72.5,80,57.5,0,0,1,1,0,1,1,0,-1,6,179.408,3.85899999999998,2.625,2.01600000000002,2.375,2.88999999999998,1.67200000000002,1.54700000000002,1.96899999999999,1.92200000000002,3.63999999999998,1.89099999999996,4,1,5,31,1,0
47.5,55,85,42.5,65,70,0,0,0,1,0,1,0,0,1,7,196.438,30.484,13.875,5.42199999999996,4.65699999999998,5.95299999999997,3.93799999999998,4.56200000000001,4.18700000000001,2.375,3.73399999999998,2.531,5,1,5,29,0,0
87.5,70,50,45,77.5,50,0,1,0,0,0,0,0,0,-1,5,152.704,4.70299999999997,3.88999999999998,2.95299999999997,4.48399999999998,6.84399999999999,2.06300000000004,1.95300000000003,1.531,1.98500000000001,7.04699999999996,1.96899999999999,5,1,5,25,1,1
80,42.5,70,92.5,80,60,0,1,0,1,0,1,1,0,1,7,210.266,4.93800000000004,5.21899999999999,3.18799999999998,3.95299999999997,3.48500000000001,2.57799999999997,1.45300000000003,1.96800000000001,1.59399999999999,1.85899999999998,1.60900000000003,5,1,5,28,1,1
57.5,50,60,50,55,65,0,0,0,1,0,1,1,0,-1,5,310.933999999999,6.281,3.031,2,1.95300000000003,2.23399999999998,2.04699999999996,1.60899999999998,1.31300000000004,3.156,3.04699999999996,2.21899999999999,1,1,5,22,1,1
62.5,45,52.5,35,70,50,0,0,0,1,0,1,1,0,-1,6,194.61,11.6719999999999,7.14100000000002,8.625,7.40599999999994,4.031,2.93800000000004,2.5,2.03099999999994,1.656,2.125,2.35899999999998,2,1,5,19,1,0
80,62.5,77.5,77.5,62.5,62.5,0,0,0,0,1,0,1,0,-1,7,245.782,11.5,7.98500000000001,1.51600000000007,1.375,1.625,1.60900000000003,1.45299999999997,1.45399999999995,1.26600000000007,1.65600000000006,1.14099999999996,1,1,7,26,1,1
